"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0,0.973,0.975,0.975,0.965,0.974,0.969,0.965,0.968,0.973,0.974,0.976
"2",0,0,0.982,0.972,0.962,0.971,0.974,0.962,0.964,0.977,0.966,0.988
"3",0,0,0,0.973,0.97,0.974,0.972,0.968,0.969,0.977,0.972,0.982
"4",0,0,0,0,0.973,0.976,0.98,0.976,0.979,0.978,0.984,0.972
"5",0,0,0,0,0,0.962,0.96,0.986,0.983,0.959,0.976,0.96
"6",0,0,0,0,0,0,0.983,0.962,0.966,0.986,0.975,0.971
"7",0,0,0,0,0,0,0,0.965,0.97,0.99,0.977,0.973
"8",0,0,0,0,0,0,0,0,0.987,0.963,0.977,0.96
"9",0,0,0,0,0,0,0,0,0,0.967,0.981,0.964
"10",0,0,0,0,0,0,0,0,0,0,0.975,0.976
"11",0,0,0,0,0,0,0,0,0,0,0,0.968
"12",0,0,0,0,0,0,0,0,0,0,0,0
